Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,RSI,MACD,MACDsignal,MACDhist,BBANDS_upper,BBANDS_middle,BBANDS_lower,STOCH_k,STOCH_d,ADX
2010-01-04,16.540000915527344,16.729999542236328,16.489999771118164,16.709999084472656,12.453277587890623,323714,,,,,,,,,,,,
2010-01-05,16.665000915527344,16.739999771118164,16.610000610351562,16.65999984741211,12.416017532348633,501980,,,,,,,,,,,,
2010-01-06,16.670000076293945,16.7450008392334,16.3799991607666,16.610000610351562,12.378753662109377,509520,,,,,,,,,,,,
2010-01-07,16.4950008392334,16.770000457763672,16.420000076293945,16.6200008392334,12.38620662689209,604098,,,,,,,,,,,,
2010-01-08,16.760000228881836,17.299999237060547,16.760000228881836,16.885000228881836,12.583699226379396,1581346,,,,,,,16.897758360966947,16.697000122070314,16.49624188317368,,,
2010-01-11,17.059999465942383,17.1299991607666,16.6299991607666,16.790000915527344,12.512901306152344,1060069,,,,,,,16.92762565748896,16.71300048828125,16.49837531907354,,,
2010-01-12,16.739999771118164,16.899999618530273,16.514999389648438,16.549999237060547,12.334036827087402,568112,,,,,,,16.94226957193844,16.691000366210936,16.439731160483433,,,
2010-01-13,16.5049991607666,16.540000915527344,16.31999969482422,16.420000076293945,12.237154960632324,909248,,,,,,,16.98596322824828,16.653000259399413,16.320037290550545,,,
2010-01-14,16.405000686645508,16.729999542236328,16.405000686645508,16.600000381469727,12.37130069732666,1047962,,,,,,,16.983927556929935,16.64900016784668,16.314072778763425,19.084634979257515,27.604087808720546,
2010-01-15,16.594999313354492,16.614999771118164,16.3700008392334,16.469999313354492,12.274415969848633,969979,,,,,,,16.822313183886767,16.56599998474121,16.309686785595655,19.0980403136821,20.86620258486832,
2010-01-18,16.469999313354492,16.549999237060547,16.2450008392334,16.299999237060547,12.147722244262695,1055460,,,,,,,16.677150736759906,16.46799964904785,16.258848561335796,18.495571074516544,18.892748789152055,
2010-01-19,16.299999237060547,16.719999313354492,16.280000686645508,16.68000030517578,12.430923461914062,748489,,,,,,,16.76161228702579,16.493999862670897,16.226387438316003,38.86868420932777,25.48743186584214,
2010-01-20,16.760000228881836,16.94499969482422,16.674999237060547,16.80500030517578,12.52407932281494,841419,,,,,,,16.91870183101049,16.570999908447266,16.22329798588404,59.36254116348599,38.90893214911011,
2010-01-21,16.979999542236328,16.979999542236328,16.200000762939453,16.2450008392334,12.106733322143556,1016502,16.59607151576451,16.59607151576451,,,,,16.93020945074514,16.5,16.06979054925486,58.48671848760594,52.23931462013991,
2010-01-22,16.225000381469727,16.549999237060547,16.149999618530273,16.170000076293945,12.050840377807615,1046267,16.55750015803746,16.539261990501767,39.02441482800142,,,,16.94703089278997,16.440000152587892,15.93296941238581,29.39299933437846,49.08075299515681,
2010-01-25,16.09000015258789,16.295000076293945,15.8100004196167,16.06999969482422,11.976314544677734,679967,16.515357289995467,16.476693684411426,37.38767548326376,,,,16.979197878379573,16.394000244140624,15.808802609901676,10.13370681529286,32.6711415457591,
2010-01-26,16.049999237060547,16.424999237060547,16.010000228881836,16.350000381469727,12.184985160827637,583259,16.496785845075333,16.4598012440192,44.41719592767602,,,,16.839023000163234,16.328000259399413,15.816977518635593,23.595249456861414,21.040651868844254,
2010-01-27,16.235000610351562,16.5,16.1200008392334,16.469999313354492,12.274415969848633,1064215,16.4860714503697,16.46116098659724,47.155421826399774,,,,16.539021436791096,16.261000061035155,15.982978685279216,41.59541953414469,25.108125268766333,
2010-01-28,16.299999237060547,16.399999618530273,15.53499984741211,15.619999885559082,11.640946388244627,2917261,16.395714282989502,16.349006173125485,34.274953977312045,,,,16.721914449852484,16.135999870300292,15.550085290748102,36.97949156482975,34.05672018527863,
2010-01-29,15.699999809265137,15.770000457763672,15.395000457763672,15.71500015258789,11.711746215820312,1983370,16.318928514208114,16.264472037053807,36.367009533573956,,,,16.716594781523327,16.044999885559083,15.37340498959484,31.24795252919702,36.607621209390494,
2010-02-01,15.625,15.875,15.55500030517578,15.800000190734863,11.775094032287598,1066031,16.265357153756277,16.202542457544613,38.26059001061114,,,,16.688779058039007,15.990999984741212,15.293220911443418,24.661742718723858,30.963062270916883,
2010-02-02,15.704999923706056,15.890000343322754,15.704999923706056,15.71500015258789,11.711746215820312,957160,16.215000016348704,16.137536816883717,37.072530094502696,,,,16.48061593504473,15.863999938964843,15.247383942884955,31.52336517427362,29.144353474064843,
2010-02-03,15.824999809265137,15.824999809265137,15.600000381469728,15.670000076293944,11.678210258483888,705884,16.14857142312186,16.07519858480508,36.42762420796413,,,,15.822895196155772,15.704000091552734,15.585104986949696,30.991334699286693,29.058814197428067,
2010-02-04,15.734999656677246,15.765000343322754,15.119999885559082,15.140000343322754,11.283222198486328,1377610,16.053571496691024,15.95050548594077,29.84296666980927,,,,16.083503980490995,15.608000183105469,15.132496385719943,19.639963290835833,27.384887721465393,
2010-02-05,14.989999771118164,15.100000381469728,14.649999618530272,14.670000076293944,10.932950973510742,1628799,15.937142985207695,15.779771431321192,25.449660456247774,,,,16.26276865612513,15.39900016784668,14.535231679568232,10.52452289158264,20.38527362723507,
2010-02-08,14.65999984741211,14.829999923706056,14.399999618530272,14.614999771118164,10.891962051391602,1364576,15.789642947060722,15.624468543294121,24.986107072675594,,,,16.10248098494972,15.16200008392334,14.221519182896959,6.213311041855036,12.125932408091183,
2010-02-09,14.5,14.725000381469728,14.31999969482422,14.4399995803833,10.761540412902832,1639978,15.62071432386126,15.466539348239346,23.518259219409114,,,,15.799627894583976,14.906999969482422,14.014372044380869,8.005295446360362,8.247709793266026,
2010-02-10,14.449999809265137,14.704999923706056,14.385000228881836,14.619999885559082,10.8956880569458,1260058,15.504642827170235,15.353667419881978,28.19109129912788,,,,15.166621541492303,14.69699993133545,14.227378321178596,14.38806556553857,9.535557351251336,33.34003808364954
2010-02-11,14.734999656677246,14.739999771118164,14.510000228881836,14.609999656677246,10.888235092163086,952225,15.393214225769043,15.254511718121346,28.088414807047425,,,,14.748022360814701,14.590999794006347,14.433977227197992,21.971370944259593,14.788243985386188,34.876810503914676
2010-02-12,14.710000038146973,14.729999542236328,14.399999618530272,14.524999618530272,10.8248872756958,543715,15.282857077462333,15.15724343817587,27.182186979269723,,,,14.702655481203525,14.561999702453614,14.421343923703702,32.71224818283128,23.02389489754316,36.44905035137935
2010-02-15,14.640000343322754,14.640000343322754,14.449999809265137,14.5,10.806255340576172,351584,15.150714193071638,15.06961097975242,26.907221632309476,,,,14.67499982609551,14.53899974822998,14.40299967036445,40.077567574813834,31.587062233968243,37.90898735259653
2010-02-16,14.574999809265137,14.664999961853027,14.43000030517578,14.600000381469728,10.880783081054688,779161,15.017142840794154,15.006996233314728,29.959308918211892,,,,14.668652432127194,14.570999908447266,14.473347384767338,47.87225150817799,40.22068908860771,39.133169593362915
2010-02-17,14.609999656677246,14.8149995803833,14.510000228881836,14.699999809265137,10.955307006835938,869200,14.951428549630302,14.966063376774782,32.97335908083427,,,,14.728081425139269,14.586999893188477,14.445918361237684,58.56997277460899,48.83993061920029,39.489506111349804
2010-02-18,14.739999771118164,15.09000015258789,14.619999885559082,14.989999771118164,11.171432495117188,967295,14.899642808096749,14.969254896020566,40.91422880223884,-0.5347295396412033,-0.5791205099451139,0.04439097030391059,15.018392536616368,14.66299991607666,14.307607295536954,72.7866376332039,59.742953971996975,38.56308498039271
2010-02-19,14.93000030517578,15.114999771118164,14.770000457763672,15.079999923706056,11.238507270812988,862722,14.848214217594691,14.984020899711965,43.164676582777986,-0.48334113510689924,-0.559964634977471,0.07662349987057171,15.22221398841324,14.773999977111817,14.325785965810395,84.22898026040612,71.86186355607303,37.59605652642409
2010-02-22,15.079999923706056,15.1899995803833,14.71500015258789,14.779999732971191,11.014927864074709,1050242,14.781428473336357,14.956818077479861,37.97282879750359,-0.46150304266591746,-0.5402723165151603,0.07876927384924282,15.188217499409976,14.829999923706055,14.471782348002133,75.48344391923398,77.49968727094802,36.36972657043215
2010-02-23,14.800000190734863,14.885000228881836,14.524999618530272,14.600000381469728,10.880783081054688,580050,14.704999923706055,14.90924238467851,35.23444107077496,-0.4534930547744853,-0.5229164641670253,0.06942340939253999,15.188217499409976,14.829999923706055,14.471782348002133,51.39281954273968,70.36841457412662,35.749192893645336
2010-02-24,14.619999885559082,14.675000190734863,14.31999969482422,14.515000343322754,10.81743621826172,1552294,14.660357066563197,14.85667677916441,33.98797588389268,-0.4488300410390824,-0.5080991795414367,0.05926913850235427,15.22740033883803,14.793000030517579,14.358599722197127,27.233933326382466,51.37006559611873,35.66778713453886
2010-02-25,14.510000228881836,14.710000038146973,14.300000190734863,14.324999809265137,10.675837516784668,588760,14.635714190346855,14.785786516511173,31.320718831732066,-0.4552185481964077,-0.4975230532724309,0.04230450507602318,15.171976486260775,14.660000038146972,14.14802359003317,12.81938253323896,30.482045134120387,35.42578624079532
2010-02-26,14.75,15.079999923706056,14.454999923706056,15.029999732971191,11.20124340057373,1669893,14.665357044764928,14.818348278705843,47.716242543708,-0.39879680293062236,-0.4777778032040692,0.07898100027344684,15.129708011827688,14.65,14.170291988172313,35.7484317155083,25.267249191709926,33.64579096582163
2010-03-01,15.100000381469728,15.130000114440918,14.75,14.80500030517578,11.033560752868652,810601,14.691428525107247,14.816568548901834,44.09801696214647,-0.3679957112453174,-0.4558213848123188,0.08782567356700144,15.140510055904082,14.655000114440918,14.169490172977754,48.55827247648468,32.375362241744,31.808277583478525
2010-03-02,14.779999732971191,14.890000343322754,14.630000114440918,14.890000343322754,11.096906661987305,715894,14.710714272090367,14.826359454824624,45.77096954824549,-0.33288948866253776,-0.4312350055823626,0.09834551691982485,15.226832780312993,14.713000106811524,14.199167433310055,71.31674395613919,51.87448271604408,30.47703013554131
2010-03-03,14.899999618530272,14.899999618530272,14.720000267028809,14.845000267028809,11.06337070465088,474031,14.72750002997262,14.828844896451848,45.0031170063942,-0.3051807506890789,-0.4060241546037059,0.10084340391462698,15.25772353277841,14.779000091552735,14.30027665032706,65.86347365752128,61.912830030048404,29.199721160972306
2010-03-04,14.78499984741211,15.020000457763672,14.734999656677246,14.949999809265137,11.141621589660645,1522890,14.757857186453682,14.844998884826953,47.2277194789232,-0.2716177503241948,-0.37914287374780364,0.10752512342360887,15.062669089442684,14.904000091552735,14.745331093662786,70.02677458503241,69.06899739956431,27.517184081783203
2010-03-05,14.979999542236328,15.329999923706056,14.885000228881836,15.270000457763672,11.380106925964355,1659001,14.812857219151088,14.901665761218515,53.41259540827568,-0.21669947608032203,-0.3466541942143073,0.1299547181339853,15.284301428158884,14.95200023651123,14.619699044863577,76.80820229150667,70.89948351135348,26.254494722149634
2010-03-08,15.420000076293944,15.475000381469728,15.210000038146973,15.3100004196167,11.409915924072266,877529,14.863571507590157,14.956110382338274,54.13617909089512,-0.16801194829322696,-0.31092574503009124,0.14291379673686427,15.446528129453611,15.053000259399415,14.659472389345218,81.74510817014772,76.19336168222895,25.5247656644623
2010-03-09,15.3100004196167,15.414999961853027,15.18000030517578,15.244999885559082,11.36147403717041,1133240,14.902500084468297,14.994628982767715,52.70365153280151,-0.13313701102539,-0.275367998229151,0.14223098720376098,15.502069134511574,15.12400016784668,14.745931201181785,80.47946387608339,79.67759144591263,24.722107744489055
2010-03-10,15.255000114440918,15.640000343322754,15.225000381469728,15.640000343322754,11.655851364135742,1166130,14.948928696768624,15.080678497508387,59.68511086363746,-0.07278610330419433,-0.23485161924415965,0.16206551593996532,15.721798899254303,15.283000183105468,14.844201466956633,83.33658208041413,81.8537180422151,24.641819063616882
2010-03-11,15.619999885559082,15.675000190734863,15.380000114440918,15.479999542236328,11.536611557006836,748104,14.977500098092216,15.133921303472112,56.07440183969021,-0.0374367539989926,-0.19536864619512623,0.15793189219613363,15.688893373034892,15.389000129699706,15.08910688636452,81.61757839700097,81.81120811783285,24.664796087174814
2010-03-12,15.600000381469728,15.699999809265137,15.4350004196167,15.529999732971191,11.573872566223145,903429,15.031071526663643,15.186731760738656,56.950848063353554,-0.005326145977617713,-0.15736014615162452,0.1520340001740068,15.73030257833853,15.440999984741211,15.151697391143891,80.87467295793212,81.94294447844909,24.75881478979374
2010-03-15,15.550000190734863,15.600000381469728,15.390000343322754,15.425000190734863,11.495620727539062,538726,15.090000084468297,15.21850088473815,54.49195085342146,0.011516402760761935,-0.12358483636914723,0.13510123912990918,15.72487555101264,15.463999938964843,15.203124326917045,63.246475471355474,75.24624227542954,24.61562350084273
